NombreDB;NombreEjercicio;ModeloUsado;EvaluandoCategoria;DuracionTiempoRespuesta;ExitoRespuesta;TokensEntrada;TokensSalida
Contexto2023-2;Ejercicio2_2023-2;qwen/qwen3-coder:free;Respuesta Incorrecta;0.00;No;0;0
Contexto2023-1;Ejercicio1_2023-1;qwen/qwen3-coder:free;Error Logico;0.00;No;0;0
Contexto2023-2;Ejercicio3_2023-2;google/gemma-3-27b-it:free;Respuesta Incorrecta;3.41;Si;3957;59
Contexto2023-1;Ejercicio1_2023-1;deepseek/deepseek-chat-v3.1:free;Respuesta Correcta;3.49;Si;3956;13
Contexto2023-1;Ejercicio3_2023-1;meta-llama/llama-4-maverick:free;Elementos Extras;3.98;Si;3798;194
Contexto2023-2;Ejercicio3_2023-2;qwen/qwen3-8b:free;Error Logico;0.00;No;0;0
Contexto2023-2;Ejercicio1_2023-2;deepseek/deepseek-chat-v3.1:free;Elementos Extras;8.14;Si;3889;143
Contexto2023-1;Ejercicio2_2023-1;google/gemma-3-27b-it:free;Error Logico;4.27;Si;4270;0
Contexto2023-1;Ejercicio1_2023-1;google/gemma-3-12b-it:free;Elementos Extras;9.45;Si;4160;192
Contexto2023-1;Ejercicio2_2023-1;qwen/qwen3-8b:free;Error Sintaxis;14.96;Si;4112;839
Contexto2023-2;Ejercicio1_2023-2;x-ai/grok-4-fast:free;Respuesta Incorrecta;31.15;Si;3745;1518
Contexto2023-2;Ejercicio1_2023-2;mistralai/mistral-nemo:free;Error Logico;7.11;Si;3801;212
Contexto2023-2;Ejercicio2_2023-2;google/gemma-3-4b-it:free;Respuesta Correcta;6.44;Si;3937;0
Contexto2023-2;Ejercicio2_2023-2;qwen/qwen3-235b-a22b:free;Elementos Extras;31.71;Si;5046;1098
Contexto2023-1;Ejercicio2_2023-1;qwen/qwen3-235b-a22b:free;Respuesta Correcta;12.42;Si;4196;770
Contexto2023-2;Ejercicio2_2023-2;google/gemma-3-12b-it:free;Error Sintaxis;5.38;Si;3912;0
Contexto2023-1;Ejercicio1_2023-1;google/gemma-3-4b-it:free;Respuesta Incorrecta;5.80;Si;4087;0
Contexto2023-1;Ejercicio3_2023-1;deepseek/deepseek-r1-0528-qwen3-8b:free;Error Sintaxis;55.16;Si;4137;3736
Contexto2023-1;Ejercicio2_2023-1;qwen/qwen3-coder:free;Respuesta Correcta;0.00;No;0;0
Contexto2023-2;Ejercicio2_2023-2;qwen/qwen3-coder:free;Elementos Extras;0.00;No;0;0
Contexto2023-2;Ejercicio3_2023-2;google/gemma-3-12b-it:free;Respuesta Incorrecta;4.83;Si;3820;0
Contexto2023-2;Ejercicio2_2023-2;mistralai/mistral-nemo:free;Respuesta Correcta;4.00;Si;3899;141
Contexto2023-1;Ejercicio1_2023-1;x-ai/grok-4-fast:free;Respuesta Correcta;5.07;Si;3829;354
Contexto2023-1;Ejercicio1_2023-1;mistralai/mistral-nemo:free;Respuesta Incorrecta;4.14;Si;4038;106
Contexto2023-1;Ejercicio1_2023-1;google/gemma-3-4b-it:free;Elementos Extras;3.97;Si;4083;0
Contexto2023-1;Ejercicio2_2023-1;google/gemma-3-12b-it:free;Error Logico;4.98;Si;4197;0
