NombreDB;NombreEjercicio;ModeloUsado;EvaluandoCategoria;DuracionTiempoRespuesta;ExitoRespuesta;TokensEntrada;TokensSalida
Contexto2023-1;Ejercicio1_2023-1;qwen/qwen3-coder:free;Error Logico;0.00;No;0;0
Contexto2023-1;Ejercicio1_2023-1;deepseek/deepseek-chat-v3.1:free;Respuesta Correcta;1.88;Si;3956;7
Contexto2023-2;Ejercicio3_2023-2;google/gemma-3-27b-it:free;Respuesta Incorrecta;2.15;Si;3957;52
Contexto2023-1;Ejercicio1_2023-1;google/gemma-3-12b-it:free;Elementos Extras;3.09;Si;4160;9
Contexto2023-1;Ejercicio2_2023-1;google/gemma-3-27b-it:free;Error Logico;3.19;Si;4270;0
Contexto2023-1;Ejercicio3_2023-1;qwen/qwen3-30b-a3b:free;Respuesta Correcta;26.93;Si;4156;2022
Contexto2023-2;Ejercicio2_2023-2;qwen/qwen3-coder:free;Respuesta Incorrecta;18.50;Si;3918;184
Contexto2023-2;Ejercicio2_2023-2;qwen/qwen3-235b-a22b:free;Elementos Extras;27.12;Si;4029;2087
Contexto2023-2;Ejercicio2_2023-2;google/gemma-3-12b-it:free;Error Sintaxis;7.26;Si;3912;0
Contexto2023-1;Ejercicio3_2023-1;meta-llama/llama-4-maverick:free;Elementos Extras;5.41;Si;3798;180
Contexto2023-1;Ejercicio1_2023-1;google/gemma-3-4b-it:free;Respuesta Incorrecta;6.03;Si;4087;0
Contexto2023-1;Ejercicio3_2023-1;deepseek/deepseek-r1-0528-qwen3-8b:free;Error Sintaxis;9.83;Si;4137;597
Contexto2023-2;Ejercicio3_2023-2;qwen/qwen3-8b:free;Error Logico;28.32;Si;3819;2076
Contexto2023-2;Ejercicio1_2023-2;deepseek/deepseek-chat-v3.1:free;Elementos Extras;6.36;Si;3889;163
Contexto2023-2;Ejercicio1_2023-2;mistralai/mistral-nemo:free;Error Logico;7.64;Si;3801;265
Contexto2023-2;Ejercicio1_2023-2;x-ai/grok-4-fast:free;Respuesta Incorrecta;38.33;Si;3745;1189
Contexto2023-1;Ejercicio3_2023-1;qwen/qwen3-14b:free;Respuesta Incorrecta;48.66;Si;4115;3476
Contexto2023-1;Ejercicio2_2023-1;qwen/qwen3-235b-a22b:free;Respuesta Correcta;9.34;Si;4196;462
Contexto2023-2;Ejercicio2_2023-2;google/gemma-3-4b-it:free;Respuesta Correcta;6.81;Si;3937;0
Contexto2023-1;Ejercicio2_2023-1;qwen/qwen3-8b:free;Error Sintaxis;14.33;Si;4112;843
Contexto2023-2;Ejercicio3_2023-2;google/gemma-3-12b-it:free;Respuesta Incorrecta;2.66;Si;3957;56
Contexto2023-1;Ejercicio2_2023-1;qwen/qwen3-coder:free;Respuesta Correcta;0.00;No;0;0
Contexto2023-2;Ejercicio2_2023-2;google/gemma-3-4b-it:free;Error Sintaxis;6.55;Si;3912;0
Contexto2023-1;Ejercicio3_2023-1;qwen/qwen3-14b:free;Elementos Extras;13.55;Si;4171;986
Contexto2023-1;Ejercicio1_2023-1;mistralai/mistral-nemo:free;Respuesta Incorrecta;4.91;Si;4038;129
Contexto2023-2;Ejercicio1_2023-2;meta-llama/llama-4-maverick:free;Error Logico;4.55;Si;3543;243
Contexto2023-2;Ejercicio2_2023-2;deepseek/deepseek-chat-v3.1:free;Error Logico;6.74;Si;3866;181
Contexto2023-1;Ejercicio3_2023-1;google/gemma-3-27b-it:free;Respuesta Correcta;3.74;Si;4273;0
Contexto2023-1;Ejercicio1_2023-1;google/gemma-3-4b-it:free;Elementos Extras;4.81;Si;4083;0
Contexto2023-1;Ejercicio2_2023-1;google/gemma-3-12b-it:free;Error Logico;4.95;Si;4197;0
Contexto2023-1;Ejercicio1_2023-1;deepseek/deepseek-chat-v3.1:free;Error Sintaxis;6.31;Si;3931;222
Contexto2023-1;Ejercicio3_2023-1;qwen/qwen3-30b-a3b:free;Error Sintaxis;19.05;Si;4141;1323
Contexto2023-1;Ejercicio1_2023-1;x-ai/grok-4-fast:free;Respuesta Correcta;18.89;Si;3829;452
Contexto2023-2;Ejercicio2_2023-2;qwen/qwen3-coder:free;Elementos Extras;8.67;Si;4028;319
Contexto2023-2;Ejercicio1_2023-2;x-ai/grok-4-fast:free;Elementos Extras;46.03;Si;3738;1922
Contexto2023-2;Ejercicio3_2023-2;google/gemma-3-4b-it:free;Respuesta Incorrecta;4.72;Si;3820;0
Contexto2023-2;Ejercicio3_2023-2;deepseek/deepseek-chat-v3.1:free;Respuesta Correcta;1.34;Si;3804;13
Contexto2023-1;Ejercicio1_2023-1;meta-llama/llama-4-maverick:free;Respuesta Incorrecta;3.29;Si;3689;133
Contexto2023-1;Ejercicio2_2023-1;deepseek/deepseek-chat-v3.1:free;Respuesta Incorrecta;5.66;Si;4076;159
Contexto2023-1;Ejercicio2_2023-1;google/gemma-3-4b-it:free;Error Logico;4.29;Si;4197;0
Contexto2023-1;Ejercicio1_2023-1;mistralai/mistral-nemo:free;Elementos Extras;5.48;Si;4037;183
Contexto2023-1;Ejercicio3_2023-1;google/gemma-3-12b-it:free;Respuesta Correcta;5.40;Si;4200;0
Contexto2023-1;Ejercicio3_2023-1;google/gemma-3-27b-it:free;Error Sintaxis;8.18;Si;4255;0
Contexto2023-2;Ejercicio1_2023-2;qwen/qwen3-14b:free;Error Logico;11.20;Si;3895;706
Contexto2023-1;Ejercicio1_2023-1;x-ai/grok-4-fast:free;Error Sintaxis;11.11;Si;3806;890
Contexto2023-2;Ejercicio1_2023-2;deepseek/deepseek-r1-0528-qwen3-8b:free;Respuesta Incorrecta;87.92;Si;3935;6409
Contexto2023-2;Ejercicio3_2023-2;mistralai/mistral-nemo:free;Respuesta Incorrecta;3.79;Si;3794;108
Contexto2023-2;Ejercicio3_2023-2;x-ai/grok-4-fast:free;Respuesta Correcta;18.97;Si;3657;441
Contexto2023-2;Ejercicio2_2023-2;x-ai/grok-4-fast:free;Error Logico;20.95;Si;3727;692
Contexto2023-2;Ejercicio3_2023-2;qwen/qwen3-235b-a22b:free;Error Logico;114.17;Si;4836;3439
Contexto2023-1;Ejercicio2_2023-1;qwen/qwen3-235b-a22b:free;Error Sintaxis;83.19;Si;5129;2395
Contexto2023-1;Ejercicio1_2023-1;qwen/qwen3-14b:free;Respuesta Incorrecta;7.99;Si;4077;468
Contexto2023-1;Ejercicio3_2023-1;qwen/qwen3-8b:free;Respuesta Incorrecta;118.09;Si;4115;9149
Contexto2023-1;Ejercicio1_2023-1;deepseek/deepseek-r1-0528-qwen3-8b:free;Respuesta Correcta;46.04;Si;4057;2976
Contexto2023-2;Ejercicio2_2023-2;mistralai/mistral-nemo:free;Error Sintaxis;14.06;Si;3877;344
Contexto2023-1;Ejercicio1_2023-1;meta-llama/llama-4-maverick:free;Elementos Extras;3.36;Si;3686;170
Contexto2023-1;Ejercicio3_2023-1;google/gemma-3-4b-it:free;Respuesta Correcta;4.82;Si;4200;0
Contexto2023-1;Ejercicio2_2023-1;mistralai/mistral-nemo:free;Error Logico;6.13;Si;4148;201
Contexto2023-2;Ejercicio3_2023-2;meta-llama/llama-4-maverick:free;Respuesta Incorrecta;3.14;Si;3527;114
Contexto2023-2;Ejercicio3_2023-2;qwen/qwen3-coder:free;Error Logico;4.43;Si;3818;133
Contexto2023-2;Ejercicio2_2023-2;meta-llama/llama-4-maverick:free;Error Sintaxis;5.06;Si;3613;282
Contexto2023-1;Ejercicio3_2023-1;google/gemma-3-12b-it:free;Error Sintaxis;6.56;Si;4182;0
Contexto2023-1;Ejercicio3_2023-1;mistralai/mistral-nemo:free;Respuesta Correcta;2.45;Si;4139;26
Contexto2023-1;Ejercicio2_2023-1;meta-llama/llama-4-maverick:free;Error Logico;3.77;Si;3790;171
Contexto2023-2;Ejercicio1_2023-2;qwen/qwen3-8b:free;Error Logico;20.04;Si;3895;1499
Contexto2023-1;Ejercicio2_2023-1;qwen/qwen3-coder:free;Error Sintaxis;8.55;Si;4111;342
Contexto2023-1;Ejercicio1_2023-1;deepseek/deepseek-r1-0528-qwen3-8b:free;Error Sintaxis;16.51;Si;4033;818
Contexto2023-1;Ejercicio1_2023-1;qwen/qwen3-8b:free;Respuesta Incorrecta;10.78;Si;4077;705
Contexto2023-2;Ejercicio3_2023-2;qwen/qwen3-14b:free;Respuesta Incorrecta;23.11;Si;3888;1787
Contexto2023-2;Ejercicio1_2023-2;qwen/qwen3-30b-a3b:free;Respuesta Incorrecta;20.45;Si;3939;1227
Contexto2023-2;Ejercicio3_2023-2;deepseek/deepseek-chat-v3.1:free;Error Sintaxis;9.86;Si;3763;223
Contexto2023-2;Ejercicio1_2023-2;deepseek/deepseek-r1-0528-qwen3-8b:free;Elementos Extras;87.97;Si;3928;5515
Contexto2023-1;Ejercicio3_2023-1;qwen/qwen3-8b:free;Elementos Extras;123.14;Si;4171;9894
Contexto2023-1;Ejercicio1_2023-1;qwen/qwen3-14b:free;Elementos Extras;9.68;Si;4076;620
Contexto2023-1;Ejercicio1_2023-1;qwen/qwen3-30b-a3b:free;Respuesta Correcta;8.52;Si;4061;376
Contexto2023-1;Ejercicio2_2023-1;x-ai/grok-4-fast:free;Respuesta Incorrecta;27.91;Si;3946;820
Contexto2023-1;Ejercicio1_2023-1;google/gemma-3-27b-it:free;Respuesta Correcta;3.55;Si;4145;13
Contexto2023-1;Ejercicio3_2023-1;google/gemma-3-4b-it:free;Error Sintaxis;6.60;Si;4182;0
Contexto2023-1;Ejercicio2_2023-1;deepseek/deepseek-chat-v3.1:free;Elementos Extras;4.21;Si;4093;114
Contexto2023-1;Ejercicio3_2023-1;meta-llama/llama-4-maverick:free;Respuesta Correcta;6.00;Si;3787;230
Contexto2023-2;Ejercicio1_2023-2;google/gemma-3-27b-it:free;Respuesta Incorrecta;5.20;Si;4009;171
Contexto2023-2;Ejercicio2_2023-2;deepseek/deepseek-r1-0528-qwen3-8b:free;Error Logico;70.89;Si;3915;4765
Contexto2023-2;Ejercicio2_2023-2;qwen/qwen3-14b:free;Error Sintaxis;20.94;Si;3954;1557
Contexto2023-1;Ejercicio3_2023-1;mistralai/mistral-nemo:free;Error Sintaxis;8.73;Si;4122;333
Contexto2023-1;Ejercicio1_2023-1;google/gemma-3-12b-it:free;Respuesta Correcta;9.03;Si;4145;364
Contexto2023-2;Ejercicio3_2023-2;deepseek/deepseek-r1-0528-qwen3-8b:free;Respuesta Correcta;33.11;Si;3858;2661
Contexto2023-2;Ejercicio1_2023-2;qwen/qwen3-235b-a22b:free;Error Logico;17.42;Si;3895;1035
Contexto2023-1;Ejercicio2_2023-1;deepseek/deepseek-r1-0528-qwen3-8b:free;Respuesta Incorrecta;17.06;Si;4178;1202
Contexto2023-1;Ejercicio2_2023-1;x-ai/grok-4-fast:free;Elementos Extras;32.08;Si;3961;948
Contexto2023-1;Ejercicio1_2023-1;qwen/qwen3-30b-a3b:free;Error Sintaxis;13.55;Si;4037;650
Contexto2023-2;Ejercicio3_2023-2;qwen/qwen3-8b:free;Respuesta Incorrecta;16.69;Si;3888;1104
Contexto2023-1;Ejercicio1_2023-1;qwen/qwen3-235b-a22b:free;Respuesta Incorrecta;13.85;Si;5094;369
Contexto2023-2;Ejercicio1_2023-2;qwen/qwen3-30b-a3b:free;Elementos Extras;17.92;Si;3932;914
Contexto2023-1;Ejercicio1_2023-1;qwen/qwen3-8b:free;Elementos Extras;15.28;Si;4076;1007
Contexto2023-1;Ejercicio3_2023-1;qwen/qwen3-14b:free;Respuesta Correcta;9.73;Si;4156;662
Contexto2023-2;Ejercicio3_2023-2;x-ai/grok-4-fast:free;Error Sintaxis;23.54;Si;3619;1204
Contexto2023-1;Ejercicio2_2023-1;qwen/qwen3-14b:free;Error Logico;12.12;Si;4182;741
Contexto2023-1;Ejercicio1_2023-1;qwen/qwen3-coder:free;Respuesta Incorrecta;0.00;No;0;0
Contexto2023-2;Ejercicio1_2023-2;qwen/qwen3-coder:free;Error Logico;0.00;No;0;0
