NombreDB;NombreEjercicio;ModeloUsado;EvaluandoCategoria;DuracionTiempoRespuesta;ExitoRespuesta;TokensEntrada;TokensSalida
Contexto2023-1;Ejercicio1_2023-1;qwen/qwen3-coder:free;Error Logico;0.00;No;0;0
Contexto2023-2;Ejercicio2_2023-2;qwen/qwen3-coder:free;Respuesta Incorrecta;0.00;No;0;0
Contexto2023-1;Ejercicio1_2023-1;deepseek/deepseek-chat-v3.1:free;Respuesta Correcta;2.17;Si;3956;13
Contexto2023-2;Ejercicio3_2023-2;google/gemma-3-27b-it:free;Respuesta Incorrecta;3.05;Si;3957;57
Contexto2023-1;Ejercicio2_2023-1;google/gemma-3-27b-it:free;Error Logico;3.73;Si;4278;83
Contexto2023-2;Ejercicio2_2023-2;google/gemma-3-4b-it:free;Respuesta Correcta;5.97;Si;3937;0
Contexto2023-2;Ejercicio2_2023-2;google/gemma-3-12b-it:free;Error Sintaxis;7.76;Si;3912;0
Contexto2023-2;Ejercicio1_2023-2;mistralai/mistral-nemo:free;Error Logico;7.39;Si;3801;235
Contexto2023-2;Ejercicio2_2023-2;qwen/qwen3-235b-a22b:free;Elementos Extras;20.52;Si;4029;875
Contexto2023-2;Ejercicio1_2023-2;x-ai/grok-4-fast:free;Respuesta Incorrecta;16.78;Si;3745;1113
Contexto2023-1;Ejercicio1_2023-1;google/gemma-3-4b-it:free;Respuesta Incorrecta;5.23;Si;4087;0
Contexto2023-1;Ejercicio2_2023-1;qwen/qwen3-235b-a22b:free;Respuesta Correcta;17.85;Si;4196;725
Contexto2023-1;Ejercicio2_2023-1;qwen/qwen3-8b:free;Error Sintaxis;11.46;Si;4112;588
Contexto2023-2;Ejercicio3_2023-2;qwen/qwen3-8b:free;Error Logico;22.13;Si;3819;1489
Contexto2023-1;Ejercicio3_2023-1;qwen/qwen3-30b-a3b:free;Respuesta Correcta;11.65;Si;4156;551
Contexto2023-2;Ejercicio1_2023-2;deepseek/deepseek-chat-v3.1:free;Elementos Extras;10.56;Si;3889;159
Contexto2023-1;Ejercicio3_2023-1;deepseek/deepseek-r1-0528-qwen3-8b:free;Error Sintaxis;46.46;Si;4137;4136
Contexto2023-1;Ejercicio1_2023-1;google/gemma-3-12b-it:free;Elementos Extras;22.86;Si;4160;331
Contexto2023-1;Ejercicio2_2023-1;qwen/qwen3-coder:free;Respuesta Correcta;0.00;No;0;0
Contexto2023-2;Ejercicio2_2023-2;deepseek/deepseek-chat-v3.1:free;Error Logico;5.93;Si;3866;161
Contexto2023-1;Ejercicio2_2023-1;google/gemma-3-12b-it:free;Error Logico;4.93;Si;4197;0
