ID_Unico;NombreDB;NombreEjercicio;ModeloUsado;EvaluandoCategoria;DuracionTiempoRespuesta;ExitoRespuesta;TokensEntrada;TokensSalida;RespuestaEstudiante_Preview;RespuestaModelo_Preview;FechaHora;ArchivoRespuesta;ArchivoRevisionCompleta;ErroresCorrectamenteIdentificados;ErroresInventados;Comentarios;Puntuacion_Manual
Contexto2023-1_Ejercicio1_2023-1_Respuesta Correcta_deepseek_deepseek-chat-v3.1_free;Contexto2023-1;Ejercicio1_2023-1;deepseek/deepseek-chat-v3.1:free;Respuesta Correcta;1.48;Si;3956;13;- Respuesta estudiante -  SELECT DISTINCT viaje.destino FROM cliente JOIN ticket ON ticket.refcliente = cliente.id JOIN viaje ON ticket.refviaje = viaje.id WHERE cliente.nombre = 'Juan',  - Tabla resu;Errores identificados: No hay error encontrado.;2025-09-29 01:18:42;Contexto2023-1/Ejercicio1_2023-1/Respuesta Correcta/deepseek_deepseek-chat-v3.1_free/respuestamodelo.txt;revision_manual/Contexto2023-1_Ejercicio1_2023-1_Respuesta Correcta_deepseek_deepseek-chat-v3.1_free.txt;;;;
Contexto2023-2_Ejercicio3_2023-2_Respuesta Incorrecta_google_gemma-3-27b-it_free;Contexto2023-2;Ejercicio3_2023-2;google/gemma-3-27b-it:free;Respuesta Incorrecta;3.16;Si;3957;57;- Respuesta estudiante -  SELECT academico.nombre FROM tesis INNER JOIN academico ON academico.id = ref_tutor  INNER JOIN estudiante ON estudiante.id = ref_estudiante WHERE anio_ingreso = 2019,  - Tab;Errores identificados: 1. Lógico: Falta la palabra clave DISTINCT.    - ¿Por qué es un error? El enunciado solicita que no se repitan los nombres de los académicos, y la consulta actual devuelve nombr;2025-09-29 01:18:44;Contexto2023-2/Ejercicio3_2023-2/Respuesta Incorrecta/google_gemma-3-27b-it_free/respuestamodelo.txt;revision_manual/Contexto2023-2_Ejercicio3_2023-2_Respuesta Incorrecta_google_gemma-3-27b-it_free.txt;;;;
Contexto2023-1_Ejercicio2_2023-1_Error Logico_google_gemma-3-27b-it_free;Contexto2023-1;Ejercicio2_2023-1;google/gemma-3-27b-it:free;Error Logico;3.26;Si;4278;63;- Respuesta estudiante -  select cliente.nombre, count(viaje.destino)  from cliente, viaje, ticket where  ticket.refviaje = viaje.id and ticket.refcliente = cliente.id group by cliente.nombre,  - Tabl;Errores identificados: 1. Lógico: Falta el uso de DISTINCT en la función de conteo.    - ¿Por qué es un error? La consulta cuenta todos los destinos, incluyendo los repetidos para cada cliente. El enu;2025-09-29 01:18:44;Contexto2023-1/Ejercicio2_2023-1/Error Logico/google_gemma-3-27b-it_free/respuestamodelo.txt;revision_manual/Contexto2023-1_Ejercicio2_2023-1_Error Logico_google_gemma-3-27b-it_free.txt;;;;
Contexto2023-1_Ejercicio2_2023-1_Respuesta Correcta_qwen_qwen3-235b-a22b_free;Contexto2023-1;Ejercicio2_2023-1;qwen/qwen3-235b-a22b:free;Respuesta Correcta;17.03;Si;4196;757;- Respuesta estudiante -  SELECT cliente.nombre, COUNT(DISTINCT viaje.destino) FROM cliente INNER JOIN ticket ON ticket.refcliente = cliente.id INNER JOIN viaje ON ticket.refviaje = viaje.id GROUP BY ;Errores identificados:        No hay error encontrado.;2025-09-29 01:19:46;Contexto2023-1/Ejercicio2_2023-1/Respuesta Correcta/qwen_qwen3-235b-a22b_free/respuestamodelo.txt;revision_manual/Contexto2023-1_Ejercicio2_2023-1_Respuesta Correcta_qwen_qwen3-235b-a22b_free.txt;;;;
Contexto2023-1_Ejercicio1_2023-1_Respuesta Incorrecta_google_gemma-3-4b-it_free;Contexto2023-1;Ejercicio1_2023-1;google/gemma-3-4b-it:free;Respuesta Incorrecta;6.07;Si;4087;0;- Respuesta estudiante -  SELECT viaje.destino FROM cliente JOIN ticket ON ticket.refcliente = cliente.id JOIN viaje ON ticket.refviaje = viaje.id WHERE cliente.nombre = 'Juan',  - Tabla resultante de;Errores identificados: 1.  logico: La consulta no utiliza la palabra clave `distinct` para evitar duplicados en los resultados.     - ¿Por qué es un error? El enunciado especifica que no se deben repe;2025-09-29 01:19:46;Contexto2023-1/Ejercicio1_2023-1/Respuesta Incorrecta/google_gemma-3-4b-it_free/respuestamodelo.txt;revision_manual/Contexto2023-1_Ejercicio1_2023-1_Respuesta Incorrecta_google_gemma-3-4b-it_free.txt;;;;
Contexto2023-1_Ejercicio3_2023-1_Elementos Extras_meta-llama_llama-4-maverick_free;Contexto2023-1;Ejercicio3_2023-1;meta-llama/llama-4-maverick:free;Elementos Extras;3.90;Si;3798;150;- Respuesta estudiante -  SELECT cliente.nombre FROM cliente INNER JOIN ticket ON ticket.refcliente = cliente.id GROUP BY cliente.id, cliente.nombre HAVING COUNT(ticket.id) = (     SELECT MAX(nro_tick;Errores identificados:    1. Error conceptual: Uso innecesario de ORDER BY.       - ¿Por qué es un error? El enunciado no solicita ordenar los resultados, por lo que incluir `ORDER BY` es innecesario.;2025-09-29 01:19:46;Contexto2023-1/Ejercicio3_2023-1/Elementos Extras/meta-llama_llama-4-maverick_free/respuestamodelo.txt;revision_manual/Contexto2023-1_Ejercicio3_2023-1_Elementos Extras_meta-llama_llama-4-maverick_free.txt;;;;
Contexto2023-1_Ejercicio3_2023-1_Error Sintaxis_deepseek_deepseek-r1-0528-qwen3-8b_free;Contexto2023-1;Ejercicio3_2023-1;deepseek/deepseek-r1-0528-qwen3-8b:free;Error Sintaxis;24.32;Si;4137;2846;- Respuesta estudiante -  SELECT cliente.nombre FROM cliente INNER JOIN ticket ON ticket.refcliente == cliente.id GROUP BY cliente.id, cliente.nombre, WHERE COUNT(ticket.id) == (     SELECT MAX(nro_ti;Errores identificados: 1. Sintaxis: Uso incorrecto de operador de igualdad y separación de sentencias.    - ¿Por qué es un error? En SQL estándar, se utiliza `=` para la condición de unión y los punto;2025-09-29 01:19:46;Contexto2023-1/Ejercicio3_2023-1/Error Sintaxis/deepseek_deepseek-r1-0528-qwen3-8b_free/respuestamodelo.txt;revision_manual/Contexto2023-1_Ejercicio3_2023-1_Error Sintaxis_deepseek_deepseek-r1-0528-qwen3-8b_free.txt;;;;
Contexto2023-2_Ejercicio2_2023-2_Respuesta Correcta_google_gemma-3-4b-it_free;Contexto2023-2;Ejercicio2_2023-2;google/gemma-3-4b-it:free;Respuesta Correcta;4.97;Si;3937;0;- Respuesta estudiante -  SELECT academico.nombre AS nombre_academico FROM academico INNER JOIN revisor ON revisor.ref_academico = academico.id GROUP BY academico.id, academico.nombre HAVING COUNT(rev;Errores identificados: 1.  logico: Uso de subconsulta anidada innecesaria.      - ¿Por qué es un error? La consulta utiliza una subconsulta anidada para encontrar el máximo número de tesis revisadas p;2025-09-29 01:19:46;Contexto2023-2/Ejercicio2_2023-2/Respuesta Correcta/google_gemma-3-4b-it_free/respuestamodelo.txt;revision_manual/Contexto2023-2_Ejercicio2_2023-2_Respuesta Correcta_google_gemma-3-4b-it_free.txt;;;;
Contexto2023-2_Ejercicio1_2023-2_Elementos Extras_deepseek_deepseek-chat-v3.1_free;Contexto2023-2;Ejercicio1_2023-2;deepseek/deepseek-chat-v3.1:free;Elementos Extras;4.60;Si;3889;104;- Respuesta estudiante -  SELECT academico.nombre AS nombre_academico, COUNT(tesis.ref_estudiante) AS nro_estudiantes FROM academico INNER JOIN tesis ON tesis.ref_tutor = academico.id WHERE academico.;Errores identificados: 1. Error conceptual: Uso innecesario de filtro WHERE por área.    - ¿Por qué es un error? El enunciado no solicita filtrar por área, solo pide contar los estudiantes tutorados p;2025-09-29 01:19:46;Contexto2023-2/Ejercicio1_2023-2/Elementos Extras/deepseek_deepseek-chat-v3.1_free/respuestamodelo.txt;revision_manual/Contexto2023-2_Ejercicio1_2023-2_Elementos Extras_deepseek_deepseek-chat-v3.1_free.txt;;;;
Contexto2023-1_Ejercicio3_2023-1_Respuesta Incorrecta_qwen_qwen3-14b_free;Contexto2023-1;Ejercicio3_2023-1;qwen/qwen3-14b:free;Respuesta Incorrecta;10.30;Si;4115;464;- Respuesta estudiante -  SELECT cliente.nombre, count(ticket.id) as ticket FROM cliente INNER JOIN ticket ON ticket.refcliente = cliente.id group by cliente.nombre Order by ticket DESC Limit 1,  - Ta;Errores identificados: 1. Lógico: Agrupación incorrecta por `cliente.nombre` en lugar de `cliente.id`.    - ¿Por qué es un error? `cliente.nombre` no es único, por lo que si dos clientes tienen el mis;2025-09-29 01:19:46;Contexto2023-1/Ejercicio3_2023-1/Respuesta Incorrecta/qwen_qwen3-14b_free/respuestamodelo.txt;revision_manual/Contexto2023-1_Ejercicio3_2023-1_Respuesta Incorrecta_qwen_qwen3-14b_free.txt;;;;
