NombreDB;NombreEjercicio;ModeloUsado;EvaluandoCategoria;DuracionTiempoRespuesta;ExitoRespuesta;TokensEntrada;TokensSalida
Contexto2023-1;Ejercicio1_2023-1;qwen/qwen3-coder:free;Error Logico;0.00;No;0;0
Contexto2023-2;Ejercicio2_2023-2;qwen/qwen3-coder:free;Respuesta Incorrecta;0.00;No;0;0
Contexto2023-1;Ejercicio1_2023-1;deepseek/deepseek-chat-v3.1:free;Respuesta Correcta;1.48;Si;3956;13
Contexto2023-2;Ejercicio3_2023-2;google/gemma-3-27b-it:free;Respuesta Incorrecta;3.16;Si;3957;57
Contexto2023-1;Ejercicio2_2023-1;google/gemma-3-27b-it:free;Error Logico;3.26;Si;4278;63
Contexto2023-1;Ejercicio2_2023-1;qwen/qwen3-235b-a22b:free;Respuesta Correcta;17.03;Si;4196;757
Contexto2023-1;Ejercicio1_2023-1;google/gemma-3-4b-it:free;Respuesta Incorrecta;6.07;Si;4087;0
Contexto2023-1;Ejercicio3_2023-1;meta-llama/llama-4-maverick:free;Elementos Extras;3.90;Si;3798;150
Contexto2023-1;Ejercicio3_2023-1;deepseek/deepseek-r1-0528-qwen3-8b:free;Error Sintaxis;24.32;Si;4137;2846
Contexto2023-2;Ejercicio2_2023-2;google/gemma-3-4b-it:free;Respuesta Correcta;4.97;Si;3937;0
Contexto2023-2;Ejercicio1_2023-2;deepseek/deepseek-chat-v3.1:free;Elementos Extras;4.60;Si;3889;104
Contexto2023-1;Ejercicio3_2023-1;qwen/qwen3-14b:free;Respuesta Incorrecta;10.30;Si;4115;464
Contexto2023-1;Ejercicio1_2023-1;google/gemma-3-12b-it:free;Elementos Extras;6.48;Si;4083;0
Contexto2023-2;Ejercicio2_2023-2;google/gemma-3-12b-it:free;Error Sintaxis;6.03;Si;4047;135
Contexto2023-1;Ejercicio2_2023-1;qwen/qwen3-8b:free;Error Sintaxis;46.72;Si;4112;2513
Contexto2023-2;Ejercicio1_2023-2;mistralai/mistral-nemo:free;Error Logico;13.89;Si;3801;224
Contexto2023-2;Ejercicio3_2023-2;qwen/qwen3-8b:free;Error Logico;21.60;Si;3819;1454
Contexto2023-2;Ejercicio3_2023-2;google/gemma-3-12b-it:free;Respuesta Incorrecta;3.24;Si;3820;0
Contexto2023-1;Ejercicio2_2023-1;qwen/qwen3-coder:free;Respuesta Correcta;2.43;Si;4195;6
Contexto2023-1;Ejercicio1_2023-1;google/gemma-3-4b-it:free;Elementos Extras;4.00;Si;4083;0
Contexto2023-2;Ejercicio1_2023-2;meta-llama/llama-4-maverick:free;Error Logico;4.20;Si;3543;231
